osm_id,osm_name,final_lams_id
251991938-251991939-0,שדרות מנחם בגין,nan
251991938-2169895273-0,שדרות מנחם בגין,nan
251991939-5945191187-0,שדרות מנחם בגין,nan
251991939-251991938-0,שדרות מנחם בגין,nan
251991941-11700341627-0,שדרות מנחם בגין,nan
251991941-5945191187-0,שדרות מנחם בגין,nan
251991942-11700341626-0,שדרות מנחם בגין,nan
251991942-11700341632-0,שדרות מנחם בגין,nan
251991943-11700341631-0,שדרות מנחם בגין,nan
251991943-11700341632-0,שדרות מנחם בגין,nan
251991944-251991946-0,שדרות מנחם בגין,nan
251991944-13032088619-0,שדרות מנחם בגין,nan
251991946-2699959930-0,שדרות מנחם בגין,nan
251991946-251991944-0,שדרות מנחם בגין,nan
251991947-2699959930-0,שדרות מנחם בגין,nan
251991947-5935442748-0,שדרות מנחם בגין,nan
267409271-5952109201-0,דיין משה,8974.0
267409340-5934684047-0,שאול המלך,9137.0
267409340-5934702617-0,שאול המלך,9137.0
354956740-3708011591-0,שדרות מנחם בגין,nan
354956902-5948290812-0,חיים ויצמן,nan
354957094-3708011535-0,שדרות מנחם בגין,nan
354957095-5945520451-0,שדרות מנחם בגין,nan
513937789-12385769156-0,שאול המלך,9137.0
513937789-5007992788-0,שאול המלך,9137.0
513937795-5935479382-0,שאול המלך,9137.0
513937795-11576009188-0,שאול המלך,9137.0
513937802-5935529962-0,שאול המלך,9137.0
513937802-5934661119-0,שאול המלך,9137.0
513938383-5935473467-0,אהבת ציון,8933.0
513938383-5934661152-0,אהבת ציון,8933.0
998831022-11576009188-0,שאול המלך,9137.0
998831022-11576009194-0,שאול המלך,9137.0
1380455130-5935475669-0,מכלוף יעקב,9082.0
1380455130-5952206414-0,מכלוף יעקב,9082.0
1380455130-1380455132-0,יהודה הלוי,9060.0
1380455132-5952402714-0,"הרמב""ם",nan
1380455132-5952408449-0,יהודה הלוי,9060.0
1380455132-1380455130-0,יהודה הלוי,9060.0
1380455150-1936276064-0,יהודה הלוי,9060.0
1380455150-5952402770-0,יהודה הלוי,9060.0
1380455150-5952402725-0,יהודה הלוי,9060.0
1380455167-1380455292-0,אווה בויאר,nan
1380455167-5935596921-0,נורדאו,9092.0
1380455194-5934662220-0,תומר,nan
1380455197-1380455297-0,אווה בויאר,nan
1380455197-5934702617-0,שאול המלך,9137.0
1380455197-5934702462-0,שאול המלך,9137.0
1380455220-5936684871-0,הנגב,9006.0
1380455220-5936684849-0,הנגב,9006.0
1380455250-5935619408-0,נורדאו,9092.0
1380455250-1380455297-0,נורדאו,9092.0
1380455292-5935522491-0,מרקוס,9087.0
1380455292-1380455297-0,אווה בויאר,nan
1380455292-1380455167-0,אווה בויאר,nan
1380455296-5935619408-0,נורדאו,9092.0
1380455296-5935619402-0,נורדאו,9092.0
1380455297-1380455250-0,נורדאו,9092.0
1380455297-1380455197-0,אווה בויאר,nan
1380455297-1380455292-0,אווה בויאר,nan
1380455300-5952422711-0,מכלוף יעקב,9082.0
1380455300-5935475669-0,מכלוף יעקב,9082.0
1380455330-12473165322-0,טולידנו,9056.0
1380455330-12473165323-0,יוסף טרומפלדור,nan
1380455355-5952085234-0,רקפת,9131.0
1380455359-5945952223-0,שמשון,
1380455404-5934661125-0,השומרון,9035.0
1380455425-5952368448-0,חומה ומגדל,9049.0
1380455425-5952367924-0,מיזוג גלויות,9081.0
1380455425-5952368412-0,מיזוג גלויות,9081.0
1380455426-5934661163-0,מכלוף יעקב,9082.0
1380455426-5952422711-0,מכלוף יעקב,9082.0
1380455478-5952085224-0,סחלב,9098.0
1380555158-5948289725-0,אשל,8950.0
1380555166-5945470785-0,בבא סאלי,8951.0
1380555166-5945470849-0,בבא סאלי,8951.0
1380555166-9740705416-0,כנרת,9071.0
1380555184-5936677051-0,הנעמן,
1380555199-5948289911-0,ארז,8948.0
1380555345-5934702613-0,הרב ישראל קבלו,9023.0
1380555485-5934720257-0,אלעזר בן לולו,nan
1380555485-3045167074-0,שאול המלך,9137.0
1380555485-13190793036-0,שאול המלך,9137.0
1380555541-5948289919-0,שקד,9164.0
1423105610-5948290109-0,אלה,8943.0
1689116285-5934661178-0,יעקב מכלוף,nan
1936275497-1936275622-0,עזר ויצמן,nan
1936275497-5951961779-0,משה לוי,nan
1936275497-1936275549-0,משה שרת,nan
1936275497-1936275613-0,משה שרת,nan
1936275504-5952109223-0,צבעוני,9105.0
1936275516-1936275544-0,משה שרת,nan
1936275516-1936275552-0,משה שרת,nan
1936275526-5952002513-0,הרב מרדכי אליהו,9025.0
1936275526-1936275557-0,אורי צבי גרינברג,nan
1936275526-1936275549-0,משה שרת,nan
1936275526-5945952222-0,משה שרת,nan
1936275544-5945952222-0,משה שרת,nan
1936275544-1936275516-0,משה שרת,nan
1936275548-1936275613-0,חיים הרצוג,nan
1936275549-1936275639-0,רפאל איתן,nan
1936275549-1936275526-0,משה שרת,nan
1936275549-1936275611-0,נעמי שמר,nan
1936275549-1936275497-0,משה שרת,nan
1936275552-1936275516-0,משה שרת,nan
1936275552-1936275578-0,משה שרת,nan
1936275557-1936275526-0,אורי צבי גרינברג,nan
1936275565-5952002513-0,הרב מרדכי אליהו,9025.0
1936275578-5948290113-0,גולדה מאיר,8965.0
1936275578-6945273646-0,שדרות יצחק רבין,nan
1936275578-1936275552-0,משה שרת,nan
1936275586-1936275596-0,דן שומרון,nan
1936275590-1936275624-0,אילן רמון,nan
1936275596-1936275624-0,משה שרת,nan
1936275596-1936275613-0,משה שרת,nan
1936275596-1936275586-0,דן שומרון,nan
1936275611-1936275549-0,נעמי שמר,nan
1936275613-1936275596-0,משה שרת,nan
1936275613-1936275548-0,חיים הרצוג,nan
1936275613-1936275497-0,משה שרת,nan
1936275613-5948229771-0,חיים הרצוג,nan
1936275619-5946091984-0,כנרת,9071.0
1936275622-1936275497-0,עזר ויצמן,nan
1936275624-5951961996-0,משה שרת,nan
1936275624-1936275596-0,משה שרת,nan
1936275624-1936275590-0,אילן רמון,nan
1936275630-5945951898-0,כנרת,9071.0
1936275636-6945361842-0,כנרת,9071.0
1936275639-1936275549-0,רפאל איתן,nan
1936275639-5951961746-0,רפאל איתן,nan
1936276059-5952402711-0,יהודה הלוי,9060.0
1936276064-1380455150-0,יהודה הלוי,9060.0
1936276064-5952298140-0,יהודה הלוי,9060.0
1936276111-5935528067-0,מרקוס,9087.0
1936276111-5935522549-0,מרקוס,9087.0
2169895273-251991938-0,שדרות מנחם בגין,nan
2368417831-5952085262-0,יסמין,9063.0
2368417833-5952085204-0,חצב,9054.0
2368417843-5952085204-0,חצב,9054.0
2368417848-5952085224-0,סחלב,9098.0
2368417854-2368417864-0,הגלבוע,8986.0
2368417854-5952085233-0,הגלבוע,8986.0
2368417854-5952109207-0,הגלבוע,8986.0
2368417856-5952085239-0,איריס,nan
2368417859-5934662022-0,הגולן,8985.0
